Activity,Health Goal,Duration (minutes),Calories Burned,Satisfaction Score,Frequency Per Week,Equipment Required,Intensity Level,Age Group,Cost (USD),Benefits,User Feedback,Workout Type
Running,Flexibility,60,416,9,1,Swimming Costume,Low,Teens,41,Enhances endurance,Running was very satisfying!,Balance
Walking,Muscle Gain,83,186,1,3,None,Medium,Seniors,2,Aids in weight loss,I did not enjoy Walking.,Aerobic
Rock Climbing,Flexibility,80,499,6,3,Weights,High,Seniors,24,Enhances endurance,Rock Climbing was very satisfying!,Balance
Yoga,Muscle Gain,63,399,8,1,Climbing Gear,Medium,Adults,22,Improves mood,Yoga was very satisfying!,Flexibility
Cycling,Mental Clarity,50,197,8,2,Swimming Costume,Low,Seniors,8,Enhances endurance,Cycling was very satisfying!,Strength
Dance,Cardiovascular Fitness,115,219,1,6,None,Medium,Adults,29,Boosts flexibility,I did not enjoy Dance.,Aerobic
Weight Lifting,Weight Loss,80,578,3,6,Bicycle,High,Adults,2,Aids in weight loss,I did not enjoy Weight Lifting.,Balance
HIIT,Mental Clarity,75,206,2,7,Boxing Gloves,Medium,Seniors,39,Aids in weight loss,I did not enjoy HIIT.,Balance
Walking,Weight Loss,59,258,3,4,None,High,Adults,37,Boosts flexibility,I did not enjoy Walking.,Mixed
Dance,Muscle Gain,98,468,5,6,Climbing Gear,Low,Teens,21,Enhances muscle strength,I did not enjoy Dance.,Balance
HIIT,Weight Loss,90,472,1,2,Weights,Low,Teens,2,Enhances endurance,I did not enjoy HIIT.,Mixed
Dance,Muscle Gain,96,347,4,7,Yoga Mat,High,Teens,12,Improves cardiovascular health,I did not enjoy Dance.,Aerobic
Running,Weight Loss,97,443,10,3,"Mat, Reformer",Low,Seniors,1,Aids in weight loss,Running was very satisfying!,Strength
Weight Lifting,Cardiovascular Fitness,105,251,7,5,Yoga Mat,High,Teens,36,Improves cardiovascular health,Weight Lifting was very satisfying!,Aerobic
Zumba,Weight Loss,77,373,5,7,Boxing Gloves,Medium,Seniors,36,Promotes mental clarity,I did not enjoy Zumba.,Mixed
HIIT,Flexibility,83,227,5,2,Swimming Costume,Medium,Adults,42,Enhances endurance,I did not enjoy HIIT.,Flexibility
HIIT,Muscle Gain,61,445,8,6,None,Low,Seniors,24,Improves mood,HIIT was very satisfying!,Strength
Rock Climbing,Mental Clarity,72,414,10,1,Bicycle,Medium,Seniors,12,Enhances endurance,Rock Climbing was very satisfying!,Mixed
Dance,Overall Fitness,38,155,2,5,None,Low,Adults,45,Aids in weight loss,I did not enjoy Dance.,Strength
Running,Overall Fitness,76,159,8,5,"Mat, Reformer",Low,Seniors,27,Enhances endurance,Running was very satisfying!,Aerobic
Yoga,Mental Clarity,40,353,10,4,Boxing Gloves,Low,Adults,5,Boosts flexibility,Yoga was very satisfying!,Mixed
Kickboxing,Cardiovascular Fitness,106,368,8,4,"Mat, Reformer",High,Seniors,16,Boosts flexibility,Kickboxing was very satisfying!,Aerobic
Running,Muscle Gain,66,202,5,7,Climbing Gear,High,Adults,11,Promotes mental clarity,I did not enjoy Running.,Flexibility
Walking,Flexibility,31,583,10,6,None,Medium,Seniors,50,Enhances endurance,Walking was very satisfying!,Flexibility
Weight Lifting,Overall Fitness,81,191,3,3,None,Low,Teens,40,Enhances muscle strength,I did not enjoy Weight Lifting.,Mixed
Weight Lifting,Mental Clarity,70,344,3,1,Yoga Mat,Medium,Adults,11,Promotes mental clarity,I did not enjoy Weight Lifting.,Mixed
Zumba,Overall Fitness,60,241,5,2,Weights,High,Adults,38,Enhances endurance,I did not enjoy Zumba.,Aerobic
HIIT,Cardiovascular Fitness,111,286,7,7,Weights,High,Teens,18,Boosts flexibility,HIIT was very satisfying!,Flexibility
Cycling,Overall Fitness,118,509,2,4,"Mat, Reformer",Medium,Adults,16,Improves mood,I did not enjoy Cycling.,Strength
Running,Muscle Gain,51,405,5,2,None,High,Teens,2,Increases balance,I did not enjoy Running.,Flexibility
Kickboxing,Overall Fitness,58,176,9,5,Boxing Gloves,Medium,Seniors,21,Promotes mental clarity,Kickboxing was very satisfying!,Aerobic
Zumba,Flexibility,106,435,9,2,Bicycle,Low,Adults,48,Boosts flexibility,Zumba was very satisfying!,Balance
Meditation,Overall Fitness,76,260,5,5,None,Medium,Teens,45,Enhances muscle strength,I did not enjoy Meditation.,Balance
Weight Lifting,Overall Fitness,65,390,2,1,None,Low,Adults,25,Improves mood,I did not enjoy Weight Lifting.,Aerobic
Kickboxing,Cardiovascular Fitness,105,569,8,5,Weights,High,Teens,39,Enhances endurance,Kickboxing was very satisfying!,Strength
Kickboxing,Weight Loss,107,444,10,1,Climbing Gear,High,Seniors,40,Improves cardiovascular health,Kickboxing was very satisfying!,Balance
Weight Lifting,Weight Loss,56,260,5,3,Bicycle,High,Adults,36,Promotes mental clarity,I did not enjoy Weight Lifting.,Balance
Pilates,Weight Loss,117,334,2,3,None,High,Adults,44,Improves cardiovascular health,I did not enjoy Pilates.,Strength
Walking,Weight Loss,100,170,10,5,None,Low,Teens,45,Enhances muscle strength,Walking was very satisfying!,Mixed
Cycling,Flexibility,28,460,5,5,Weights,High,Seniors,21,Improves cardiovascular health,I did not enjoy Cycling.,Aerobic
Running,Flexibility,82,377,7,5,Yoga Mat,Low,Seniors,9,Enhances muscle strength,Running was very satisfying!,Strength
Yoga,Flexibility,36,469,6,7,None,Low,Seniors,11,Improves cardiovascular health,Yoga was very satisfying!,Balance
Cycling,Mental Clarity,85,428,2,2,Swimming Costume,Medium,Teens,33,Improves mood,I did not enjoy Cycling.,Strength
Walking,Flexibility,115,173,2,7,None,High,Teens,49,Improves mood,I did not enjoy Walking.,Strength
Running,Mental Clarity,101,194,4,4,Swimming Costume,Low,Seniors,31,Enhances muscle strength,I did not enjoy Running.,Strength
HIIT,Weight Loss,32,493,6,7,Weights,Medium,Seniors,38,Increases balance,HIIT was very satisfying!,Aerobic
Rock Climbing,Cardiovascular Fitness,94,239,4,1,Weights,Low,Seniors,14,Improves mood,I did not enjoy Rock Climbing.,Strength
Walking,Mental Clarity,59,465,5,7,None,Low,Seniors,47,Enhances endurance,I did not enjoy Walking.,Aerobic
Running,Flexibility,31,521,6,1,Bicycle,High,Adults,12,Increases balance,Running was very satisfying!,Aerobic
Dance,Flexibility,64,286,5,4,Climbing Gear,Medium,Seniors,13,Increases balance,I did not enjoy Dance.,Strength
Running,Weight Loss,69,296,10,3,None,Medium,Seniors,50,Aids in weight loss,Running was very satisfying!,Strength
Zumba,Cardiovascular Fitness,75,537,7,1,Climbing Gear,Low,Teens,12,Improves cardiovascular health,Zumba was very satisfying!,Flexibility
Walking,Cardiovascular Fitness,107,413,5,6,None,High,Seniors,47,Boosts flexibility,I did not enjoy Walking.,Strength
Running,Flexibility,94,585,8,6,Climbing Gear,Low,Teens,48,Promotes mental clarity,Running was very satisfying!,Strength
HIIT,Flexibility,57,592,2,7,Yoga Mat,High,Adults,17,Increases balance,I did not enjoy HIIT.,Flexibility
Pilates,Cardiovascular Fitness,23,427,3,2,Yoga Mat,Low,Seniors,39,Aids in weight loss,I did not enjoy Pilates.,Flexibility
Kickboxing,Muscle Gain,45,526,2,5,Weights,Low,Seniors,11,Improves cardiovascular health,I did not enjoy Kickboxing.,Balance
Meditation,Muscle Gain,73,583,1,4,None,Medium,Seniors,22,Enhances endurance,I did not enjoy Meditation.,Aerobic
Swimming,Overall Fitness,47,316,2,2,None,Low,Teens,3,Improves cardiovascular health,I did not enjoy Swimming.,Balance
Rock Climbing,Flexibility,79,365,10,6,Boxing Gloves,Low,Adults,16,Boosts flexibility,Rock Climbing was very satisfying!,Flexibility
Cycling,Mental Clarity,50,173,4,2,Bicycle,Medium,Teens,42,Enhances endurance,I did not enjoy Cycling.,Aerobic
Kickboxing,Overall Fitness,77,430,3,3,Climbing Gear,Medium,Adults,3,Enhances endurance,I did not enjoy Kickboxing.,Flexibility
Kickboxing,Muscle Gain,58,579,9,1,Boxing Gloves,Low,Adults,19,Improves mood,Kickboxing was very satisfying!,Strength
Swimming,Cardiovascular Fitness,51,391,1,1,Boxing Gloves,High,Teens,32,Improves mood,I did not enjoy Swimming.,Balance
Pilates,Muscle Gain,21,539,6,6,Yoga Mat,Low,Teens,19,Enhances muscle strength,Pilates was very satisfying!,Strength
Walking,Flexibility,102,179,3,4,None,High,Adults,39,Increases balance,I did not enjoy Walking.,Flexibility
Rock Climbing,Cardiovascular Fitness,68,297,9,7,"Mat, Reformer",Medium,Teens,3,Promotes mental clarity,Rock Climbing was very satisfying!,Flexibility
Running,Weight Loss,22,352,5,4,Weights,Medium,Adults,24,Enhances endurance,I did not enjoy Running.,Mixed
Swimming,Muscle Gain,24,210,4,6,Weights,High,Teens,1,Promotes mental clarity,I did not enjoy Swimming.,Balance
Zumba,Mental Clarity,73,513,4,1,Swimming Costume,Medium,Adults,16,Enhances muscle strength,I did not enjoy Zumba.,Mixed
Zumba,Weight Loss,58,404,10,1,"Mat, Reformer",High,Adults,2,Increases balance,Zumba was very satisfying!,Mixed
HIIT,Mental Clarity,88,482,9,1,"Mat, Reformer",High,Seniors,29,Increases balance,HIIT was very satisfying!,Strength
Swimming,Flexibility,83,548,3,7,Bicycle,Medium,Teens,36,Improves cardiovascular health,I did not enjoy Swimming.,Strength
Kickboxing,Mental Clarity,113,413,5,1,"Mat, Reformer",High,Seniors,1,Increases balance,I did not enjoy Kickboxing.,Flexibility
Walking,Mental Clarity,110,185,2,3,None,Medium,Seniors,37,Enhances endurance,I did not enjoy Walking.,Balance
Pilates,Mental Clarity,22,278,5,6,Climbing Gear,Low,Adults,37,Increases balance,I did not enjoy Pilates.,Flexibility
Yoga,Muscle Gain,72,389,1,1,Weights,Medium,Teens,29,Promotes mental clarity,I did not enjoy Yoga.,Strength
Walking,Weight Loss,115,386,5,1,None,Medium,Teens,46,Improves mood,I did not enjoy Walking.,Aerobic
Cycling,Cardiovascular Fitness,118,533,7,5,Bicycle,Low,Seniors,14,Increases balance,Cycling was very satisfying!,Aerobic
Yoga,Flexibility,72,597,9,1,Bicycle,Low,Adults,3,Aids in weight loss,Yoga was very satisfying!,Strength
Walking,Weight Loss,38,324,8,1,None,Medium,Teens,28,Promotes mental clarity,Walking was very satisfying!,Mixed
Pilates,Flexibility,61,516,8,6,None,High,Seniors,37,Improves cardiovascular health,Pilates was very satisfying!,Mixed
Rock Climbing,Mental Clarity,69,493,5,2,Climbing Gear,High,Seniors,17,Increases balance,I did not enjoy Rock Climbing.,Mixed
Pilates,Cardiovascular Fitness,52,289,2,1,Yoga Mat,High,Adults,10,Increases balance,I did not enjoy Pilates.,Aerobic
Weight Lifting,Mental Clarity,60,278,3,1,None,Low,Adults,38,Aids in weight loss,I did not enjoy Weight Lifting.,Balance
Cycling,Overall Fitness,79,402,9,6,Swimming Costume,Low,Teens,15,Aids in weight loss,Cycling was very satisfying!,Balance
Swimming,Flexibility,93,477,10,4,Yoga Mat,Medium,Adults,19,Improves cardiovascular health,Swimming was very satisfying!,Mixed
Weight Lifting,Overall Fitness,69,477,5,4,Weights,Low,Seniors,11,Improves cardiovascular health,I did not enjoy Weight Lifting.,Strength
Zumba,Muscle Gain,70,244,8,6,Bicycle,Low,Teens,6,Enhances endurance,Zumba was very satisfying!,Balance
Weight Lifting,Overall Fitness,87,201,2,4,Swimming Costume,Low,Seniors,31,Boosts flexibility,I did not enjoy Weight Lifting.,Mixed
Running,Overall Fitness,54,273,6,7,Bicycle,Low,Teens,23,Promotes mental clarity,Running was very satisfying!,Strength
Swimming,Overall Fitness,71,328,7,7,Yoga Mat,Low,Seniors,36,Increases balance,Swimming was very satisfying!,Flexibility
Dance,Cardiovascular Fitness,63,509,7,5,Weights,Medium,Adults,43,Promotes mental clarity,Dance was very satisfying!,Strength
Swimming,Mental Clarity,104,375,10,6,"Mat, Reformer",Medium,Adults,30,Aids in weight loss,Swimming was very satisfying!,Flexibility
Yoga,Mental Clarity,115,359,5,6,Climbing Gear,High,Teens,22,Increases balance,I did not enjoy Yoga.,Mixed
Kickboxing,Muscle Gain,82,153,5,3,Swimming Costume,Medium,Seniors,48,Enhances muscle strength,I did not enjoy Kickboxing.,Strength
HIIT,Overall Fitness,53,248,2,1,Climbing Gear,Low,Adults,6,Increases balance,I did not enjoy HIIT.,Aerobic
Zumba,Mental Clarity,45,233,8,2,None,High,Teens,11,Enhances endurance,Zumba was very satisfying!,Balance
Running,Weight Loss,116,533,9,4,"Mat, Reformer",High,Teens,49,Aids in weight loss,Running was very satisfying!,Mixed
Pilates,Mental Clarity,76,477,3,3,Weights,Medium,Adults,11,Enhances muscle strength,I did not enjoy Pilates.,Strength
Zumba,Mental Clarity,117,407,6,6,None,Medium,Adults,1,Boosts flexibility,Zumba was very satisfying!,Strength
Yoga,Flexibility,119,300,3,2,Swimming Costume,High,Seniors,2,Aids in weight loss,I did not enjoy Yoga.,Aerobic
Walking,Overall Fitness,35,389,8,1,None,High,Seniors,18,Enhances muscle strength,Walking was very satisfying!,Flexibility
Pilates,Flexibility,20,522,8,6,Swimming Costume,Low,Adults,17,Boosts flexibility,Pilates was very satisfying!,Strength
Walking,Overall Fitness,92,296,6,2,None,Low,Teens,9,Enhances muscle strength,Walking was very satisfying!,Balance
Cycling,Muscle Gain,98,348,8,1,Climbing Gear,High,Adults,12,Boosts flexibility,Cycling was very satisfying!,Strength
Running,Mental Clarity,71,342,7,5,Weights,Medium,Seniors,29,Improves cardiovascular health,Running was very satisfying!,Strength
Meditation,Cardiovascular Fitness,102,581,9,1,None,High,Adults,11,Boosts flexibility,Meditation was very satisfying!,Mixed
Pilates,Muscle Gain,57,548,7,1,"Mat, Reformer",Low,Adults,16,Promotes mental clarity,Pilates was very satisfying!,Aerobic
Zumba,Cardiovascular Fitness,20,456,7,3,"Mat, Reformer",High,Adults,35,Enhances endurance,Zumba was very satisfying!,Aerobic
Kickboxing,Weight Loss,33,433,3,5,"Mat, Reformer",Medium,Seniors,43,Enhances muscle strength,I did not enjoy Kickboxing.,Aerobic
Meditation,Flexibility,47,551,3,6,None,Medium,Seniors,46,Improves mood,I did not enjoy Meditation.,Mixed
Rock Climbing,Flexibility,79,304,10,5,Climbing Gear,Low,Teens,29,Enhances muscle strength,Rock Climbing was very satisfying!,Flexibility
Swimming,Flexibility,43,592,3,5,Boxing Gloves,Low,Adults,31,Improves mood,I did not enjoy Swimming.,Aerobic
Meditation,Overall Fitness,101,580,8,2,None,High,Adults,11,Increases balance,Meditation was very satisfying!,Flexibility
Kickboxing,Weight Loss,92,194,7,4,None,High,Seniors,24,Boosts flexibility,Kickboxing was very satisfying!,Balance
Weight Lifting,Flexibility,60,361,2,5,None,High,Seniors,48,Aids in weight loss,I did not enjoy Weight Lifting.,Aerobic
Walking,Flexibility,36,186,6,7,None,High,Seniors,23,Boosts flexibility,Walking was very satisfying!,Balance
Kickboxing,Weight Loss,98,489,1,7,Yoga Mat,High,Teens,34,Improves cardiovascular health,I did not enjoy Kickboxing.,Aerobic
Rock Climbing,Muscle Gain,38,517,5,4,None,Low,Seniors,16,Improves cardiovascular health,I did not enjoy Rock Climbing.,Flexibility
Weight Lifting,Weight Loss,40,398,6,7,Climbing Gear,Low,Seniors,14,Enhances muscle strength,Weight Lifting was very satisfying!,Balance
Dance,Mental Clarity,92,316,1,5,None,Low,Teens,8,Enhances endurance,I did not enjoy Dance.,Flexibility
Weight Lifting,Mental Clarity,20,212,5,7,Swimming Costume,High,Adults,41,Enhances endurance,I did not enjoy Weight Lifting.,Flexibility
Zumba,Muscle Gain,71,406,3,3,Boxing Gloves,Medium,Adults,44,Promotes mental clarity,I did not enjoy Zumba.,Balance
Swimming,Flexibility,21,180,8,6,Swimming Costume,High,Seniors,7,Improves cardiovascular health,Swimming was very satisfying!,Mixed
Rock Climbing,Flexibility,58,170,7,2,Swimming Costume,Low,Teens,43,Boosts flexibility,Rock Climbing was very satisfying!,Mixed
Weight Lifting,Overall Fitness,110,559,8,4,Weights,Medium,Seniors,11,Boosts flexibility,Weight Lifting was very satisfying!,Balance
HIIT,Mental Clarity,24,261,3,4,Boxing Gloves,High,Teens,31,Improves cardiovascular health,I did not enjoy HIIT.,Aerobic
Yoga,Mental Clarity,27,468,5,7,Yoga Mat,Low,Teens,4,Aids in weight loss,I did not enjoy Yoga.,Mixed
HIIT,Muscle Gain,25,300,9,2,Weights,High,Seniors,46,Increases balance,HIIT was very satisfying!,Flexibility
Meditation,Muscle Gain,69,523,7,2,None,Medium,Seniors,35,Aids in weight loss,Meditation was very satisfying!,Flexibility
Weight Lifting,Overall Fitness,86,393,6,3,Climbing Gear,Low,Adults,9,Aids in weight loss,Weight Lifting was very satisfying!,Strength
Zumba,Weight Loss,84,365,4,7,"Mat, Reformer",Low,Teens,36,Improves mood,I did not enjoy Zumba.,Flexibility
Kickboxing,Weight Loss,63,474,10,2,Boxing Gloves,Low,Teens,34,Increases balance,Kickboxing was very satisfying!,Mixed
Meditation,Cardiovascular Fitness,94,598,2,5,None,Medium,Seniors,16,Promotes mental clarity,I did not enjoy Meditation.,Balance
Kickboxing,Weight Loss,100,573,5,6,Bicycle,Medium,Teens,33,Improves mood,I did not enjoy Kickboxing.,Strength
Weight Lifting,Cardiovascular Fitness,41,270,1,7,Weights,Medium,Teens,30,Improves mood,I did not enjoy Weight Lifting.,Balance
Pilates,Cardiovascular Fitness,107,338,6,6,Weights,High,Teens,12,Promotes mental clarity,Pilates was very satisfying!,Aerobic
Cycling,Weight Loss,37,173,6,4,Boxing Gloves,Medium,Adults,41,Enhances endurance,Cycling was very satisfying!,Balance
Swimming,Cardiovascular Fitness,47,479,1,7,"Mat, Reformer",High,Adults,35,Enhances muscle strength,I did not enjoy Swimming.,Flexibility
Zumba,Flexibility,115,570,8,6,Climbing Gear,Low,Adults,17,Improves cardiovascular health,Zumba was very satisfying!,Strength
Kickboxing,Muscle Gain,47,496,6,5,Swimming Costume,Medium,Seniors,37,Aids in weight loss,Kickboxing was very satisfying!,Balance
Weight Lifting,Overall Fitness,56,542,3,6,Climbing Gear,Low,Adults,10,Improves cardiovascular health,I did not enjoy Weight Lifting.,Flexibility
Walking,Weight Loss,42,344,8,4,None,Low,Seniors,4,Enhances endurance,Walking was very satisfying!,Mixed
Dance,Weight Loss,105,155,6,2,Weights,Low,Seniors,3,Improves cardiovascular health,Dance was very satisfying!,Mixed
Dance,Cardiovascular Fitness,59,237,10,4,None,High,Seniors,23,Aids in weight loss,Dance was very satisfying!,Strength
Weight Lifting,Overall Fitness,101,312,4,6,None,Low,Seniors,37,Aids in weight loss,I did not enjoy Weight Lifting.,Balance
Cycling,Overall Fitness,20,215,1,7,Bicycle,High,Seniors,41,Increases balance,I did not enjoy Cycling.,Aerobic
Yoga,Flexibility,27,563,2,5,Weights,Low,Adults,32,Improves cardiovascular health,I did not enjoy Yoga.,Strength
Running,Flexibility,69,193,8,7,Bicycle,High,Adults,7,Aids in weight loss,Running was very satisfying!,Strength
Swimming,Cardiovascular Fitness,90,244,5,3,"Mat, Reformer",Medium,Seniors,19,Boosts flexibility,I did not enjoy Swimming.,Flexibility
Kickboxing,Flexibility,42,592,6,3,Yoga Mat,Medium,Adults,38,Promotes mental clarity,Kickboxing was very satisfying!,Strength
Kickboxing,Flexibility,92,225,7,3,Bicycle,Medium,Seniors,2,Promotes mental clarity,Kickboxing was very satisfying!,Mixed
Kickboxing,Cardiovascular Fitness,100,161,7,5,Weights,Low,Teens,37,Improves cardiovascular health,Kickboxing was very satisfying!,Aerobic
Kickboxing,Cardiovascular Fitness,113,186,1,7,Yoga Mat,Medium,Teens,30,Improves cardiovascular health,I did not enjoy Kickboxing.,Aerobic
Running,Weight Loss,96,181,8,7,Climbing Gear,Low,Seniors,41,Improves mood,Running was very satisfying!,Mixed
Pilates,Flexibility,87,523,7,2,Yoga Mat,Low,Teens,25,Enhances endurance,Pilates was very satisfying!,Mixed
Cycling,Mental Clarity,120,449,6,2,Bicycle,Low,Teens,38,Enhances muscle strength,Cycling was very satisfying!,Flexibility
Kickboxing,Weight Loss,49,399,6,1,Boxing Gloves,High,Adults,42,Enhances endurance,Kickboxing was very satisfying!,Mixed
Dance,Weight Loss,69,381,6,5,"Mat, Reformer",Low,Teens,35,Promotes mental clarity,Dance was very satisfying!,Flexibility
Cycling,Mental Clarity,117,562,10,6,Yoga Mat,High,Seniors,6,Improves mood,Cycling was very satisfying!,Flexibility
Pilates,Mental Clarity,28,343,6,1,Yoga Mat,High,Seniors,21,Boosts flexibility,Pilates was very satisfying!,Balance
HIIT,Overall Fitness,36,251,10,2,"Mat, Reformer",Medium,Adults,40,Improves mood,HIIT was very satisfying!,Strength
Yoga,Mental Clarity,52,553,7,5,Weights,High,Adults,15,Increases balance,Yoga was very satisfying!,Aerobic
Yoga,Mental Clarity,94,479,2,4,"Mat, Reformer",High,Adults,12,Boosts flexibility,I did not enjoy Yoga.,Mixed
Meditation,Mental Clarity,94,458,3,7,None,Medium,Adults,20,Improves mood,I did not enjoy Meditation.,Flexibility
HIIT,Overall Fitness,49,326,2,7,None,Low,Adults,45,Enhances endurance,I did not enjoy HIIT.,Flexibility
Swimming,Flexibility,118,529,4,4,None,High,Seniors,23,Aids in weight loss,I did not enjoy Swimming.,Flexibility
Meditation,Overall Fitness,111,180,5,1,None,Low,Adults,24,Aids in weight loss,I did not enjoy Meditation.,Aerobic
Rock Climbing,Flexibility,30,430,6,7,Boxing Gloves,Low,Adults,7,Enhances muscle strength,Rock Climbing was very satisfying!,Flexibility
Weight Lifting,Flexibility,75,201,4,7,Weights,Medium,Adults,38,Increases balance,I did not enjoy Weight Lifting.,Balance
Cycling,Muscle Gain,55,519,7,5,None,High,Teens,50,Improves cardiovascular health,Cycling was very satisfying!,Flexibility
Walking,Overall Fitness,47,555,2,2,None,Low,Adults,7,Boosts flexibility,I did not enjoy Walking.,Balance
Cycling,Muscle Gain,104,205,3,2,Bicycle,Medium,Teens,24,Enhances endurance,I did not enjoy Cycling.,Strength
Zumba,Mental Clarity,45,420,2,4,Boxing Gloves,Medium,Adults,10,Boosts flexibility,I did not enjoy Zumba.,Flexibility
Kickboxing,Mental Clarity,28,261,6,6,Boxing Gloves,Medium,Adults,26,Enhances muscle strength,Kickboxing was very satisfying!,Strength
Pilates,Cardiovascular Fitness,53,540,1,5,Boxing Gloves,Low,Seniors,37,Enhances muscle strength,I did not enjoy Pilates.,Aerobic
Running,Weight Loss,82,565,6,7,Weights,Medium,Adults,19,Enhances endurance,Running was very satisfying!,Mixed
Swimming,Mental Clarity,22,522,7,2,"Mat, Reformer",High,Adults,50,Promotes mental clarity,Swimming was very satisfying!,Mixed
Yoga,Muscle Gain,118,276,1,5,"Mat, Reformer",Medium,Adults,43,Improves cardiovascular health,I did not enjoy Yoga.,Flexibility
Weight Lifting,Mental Clarity,36,418,4,3,Climbing Gear,High,Teens,13,Improves cardiovascular health,I did not enjoy Weight Lifting.,Mixed
Walking,Mental Clarity,100,445,8,6,None,Medium,Adults,19,Improves mood,Walking was very satisfying!,Mixed
Yoga,Weight Loss,39,294,10,7,"Mat, Reformer",Medium,Seniors,34,Improves mood,Yoga was very satisfying!,Mixed
Swimming,Flexibility,96,480,4,2,Climbing Gear,High,Adults,49,Improves cardiovascular health,I did not enjoy Swimming.,Flexibility
Weight Lifting,Mental Clarity,74,366,9,2,Boxing Gloves,Medium,Adults,45,Improves mood,Weight Lifting was very satisfying!,Balance
Swimming,Flexibility,64,361,7,1,Swimming Costume,Medium,Seniors,12,Promotes mental clarity,Swimming was very satisfying!,Balance
Swimming,Mental Clarity,49,533,3,4,Boxing Gloves,Medium,Adults,33,Aids in weight loss,I did not enjoy Swimming.,Strength
Yoga,Weight Loss,31,165,8,1,Weights,Medium,Adults,49,Increases balance,Yoga was very satisfying!,Aerobic
HIIT,Flexibility,98,428,10,1,"Mat, Reformer",Low,Seniors,34,Increases balance,HIIT was very satisfying!,Balance
Meditation,Flexibility,76,313,2,4,None,Medium,Seniors,25,Aids in weight loss,I did not enjoy Meditation.,Strength
Pilates,Muscle Gain,104,253,3,4,Boxing Gloves,Low,Seniors,8,Improves mood,I did not enjoy Pilates.,Flexibility
Rock Climbing,Weight Loss,25,427,8,2,Weights,High,Adults,37,Promotes mental clarity,Rock Climbing was very satisfying!,Flexibility
Meditation,Flexibility,79,323,3,4,None,High,Adults,3,Improves cardiovascular health,I did not enjoy Meditation.,Flexibility
Dance,Weight Loss,64,416,10,6,Yoga Mat,Low,Seniors,35,Improves cardiovascular health,Dance was very satisfying!,Mixed
Yoga,Muscle Gain,32,467,3,6,Bicycle,High,Seniors,20,Enhances muscle strength,I did not enjoy Yoga.,Balance
Kickboxing,Flexibility,84,526,9,6,Yoga Mat,High,Seniors,46,Enhances endurance,Kickboxing was very satisfying!,Strength
Kickboxing,Cardiovascular Fitness,92,292,3,1,Climbing Gear,High,Teens,5,Enhances muscle strength,I did not enjoy Kickboxing.,Strength
Pilates,Overall Fitness,103,561,5,2,Bicycle,High,Adults,15,Improves mood,I did not enjoy Pilates.,Flexibility
Dance,Weight Loss,35,458,2,5,Weights,High,Adults,33,Enhances endurance,I did not enjoy Dance.,Flexibility
Swimming,Weight Loss,101,249,7,6,Bicycle,High,Adults,13,Promotes mental clarity,Swimming was very satisfying!,Aerobic
Weight Lifting,Flexibility,23,212,10,6,Swimming Costume,Low,Seniors,50,Enhances muscle strength,Weight Lifting was very satisfying!,Balance
Zumba,Mental Clarity,92,156,2,6,Weights,Medium,Seniors,42,Increases balance,I did not enjoy Zumba.,Flexibility
Cycling,Weight Loss,82,483,1,3,None,Medium,Adults,21,Improves mood,I did not enjoy Cycling.,Strength
HIIT,Muscle Gain,116,537,9,4,"Mat, Reformer",Medium,Teens,23,Aids in weight loss,HIIT was very satisfying!,Strength
Rock Climbing,Muscle Gain,80,458,3,4,Climbing Gear,Medium,Adults,4,Enhances endurance,I did not enjoy Rock Climbing.,Flexibility
Swimming,Cardiovascular Fitness,57,239,2,5,Yoga Mat,Low,Teens,17,Promotes mental clarity,I did not enjoy Swimming.,Aerobic
Rock Climbing,Mental Clarity,90,284,5,5,Boxing Gloves,Low,Seniors,28,Improves mood,I did not enjoy Rock Climbing.,Flexibility
Meditation,Cardiovascular Fitness,75,252,2,2,None,High,Adults,36,Promotes mental clarity,I did not enjoy Meditation.,Mixed
Yoga,Overall Fitness,23,414,9,6,Climbing Gear,Medium,Teens,5,Promotes mental clarity,Yoga was very satisfying!,Flexibility
Cycling,Muscle Gain,33,241,2,5,None,Medium,Seniors,23,Boosts flexibility,I did not enjoy Cycling.,Mixed
Kickboxing,Weight Loss,57,551,7,2,None,Low,Teens,24,Improves cardiovascular health,Kickboxing was very satisfying!,Aerobic
Walking,Overall Fitness,92,175,10,4,None,High,Seniors,23,Promotes mental clarity,Walking was very satisfying!,Balance
Swimming,Flexibility,116,445,10,4,Yoga Mat,Low,Teens,21,Aids in weight loss,Swimming was very satisfying!,Aerobic
Rock Climbing,Cardiovascular Fitness,24,271,8,6,"Mat, Reformer",Low,Seniors,48,Enhances endurance,Rock Climbing was very satisfying!,Flexibility
Cycling,Muscle Gain,111,205,10,4,Boxing Gloves,Medium,Teens,24,Increases balance,Cycling was very satisfying!,Balance
Pilates,Cardiovascular Fitness,39,523,9,2,Boxing Gloves,High,Seniors,11,Promotes mental clarity,Pilates was very satisfying!,Aerobic
Kickboxing,Overall Fitness,86,406,4,3,None,Medium,Adults,14,Improves mood,I did not enjoy Kickboxing.,Aerobic
Rock Climbing,Flexibility,93,359,1,5,Swimming Costume,Low,Seniors,9,Promotes mental clarity,I did not enjoy Rock Climbing.,Aerobic
Weight Lifting,Mental Clarity,75,151,6,4,"Mat, Reformer",Medium,Seniors,16,Aids in weight loss,Weight Lifting was very satisfying!,Flexibility
